statename,place,type,zri_up_st
CA,rohnertpark,city,2.86912570611589
CA,ross,town,0.0230427415814193
CA,sananselmo,town,0.768682224682712
CA,sanbruno,city,1.38776497950984
CA,sanbuenaventura,city,1.30438260117969
CA,sancarlos,city,1.9539695643605
CA,sanclemente,city,0.926705869048356
CA,sandiego,city,1.43143951053264
CA,sanfernando,city,0.70573395720091
CA,sanfrancisco,city,1.65623137450631
CA,sanjose,city,1.52058727414023
CA,sanleandro,city,0.307733882251611
CA,sanluisobispo,city,2.81136355904816
CA,sanmarino,city,-0.00285613713275226
CA,sanmateo,city,1.0545012869035
CA,sanpablo,city,1.71063215443151
CA,sanrafael,city,1.94131337379685
CA,sanramon,city,1.88289604864492
CA,santaana,city,0.566639150577536
CA,santaclara,city,1.35877193156322
CA,santamaria,city,0.175803803928825
CA,santapaula,city,3.33117953248885
CA,santee,city,0.306153267537044
CA,sausalito,city,0.17261241404612
CA,scottsvalley,city,2.0604770237311
CA,sealbeach,city,0.663248911362931
CA,seaside,city,0.299668789746555
CA,selma,city,0.610965592849757
CA,shastalake,city,0.534784924100139
CA,signalhill,city,0.39312191722624
CA,simivalley,city,1.53569784849064
CA,solanabeach,city,0.50800437382155
CA,soledad,city,0.9253147280584
CA,sonoma,city,1.65377883010275
CA,southpasadena,city,0.991982788583092
CA,southsanfrancisco,city,2.54630491559133
CA,sthelena,city,2.31480993674518
CA,susanville,city,-0.265300963193607
CA,tiburon,town,0.545418244785852
CA,tustin,city,0.420624727504565
CA,ukiah,city,0.920690569964339
CA,union,city,0.578178318340053
CA,visalia,city,0.472194183376561
CA,vista,city,0.98448115582308
CA,walnutcreek,city,1.96128679468233
CA,waterford,city,0.959721338344345
CA,weed,city,-0.954588508829309
CA,westsacramento,city,1.64246187289506
CA,whittier,city,0.736998021957915
CA,williams,city,1.13371896479464
CA,willows,city,0.334610264202081
CA,windsor,town,1.94341775434069
CA,woodlake,city,0.879486933289925
CA,woodside,town,1.11799642954743
CA,yuba,city,-0.453629639417396
CA,yucaipa,city,1.29820367648285
CO,alamosa,city,-0.737283517010483
CO,arvada,city,1.98573736567577
CO,aurora,city,1.11604045737747
CO,basalt,town,2.57536329399354
CO,canon,city,0.586823210228905
CO,cherryhills,city,-0.234923862910201
CO,coloradosprings,city,1.13555540936388
CO,cortez,city,0.215643700297294
CO,denver,city,1.63061590031968
CO,durango,city,0.524376616559289
CO,eagle,town,-0.0914182507549672
CO,erie,town,1.2050720474769
CO,estespark,town,0.696040634392669
CO,evans,city,-0.830788811410646
CO,federalheights,city,-0.399934190514666
CO,florence,city,-1.21668526505707
CO,fortlupton,city,1.29476833369913
CO,fountain,city,0.299879973157257
CO,fruita,city,0.792724406691909
CO,glenwoodsprings,city,0.93895163794619
CO,greenwood,city,-1.7064318311368
CO,gunnison,city,0.317950904092621
CO,gypsum,town,0.45552186264922
CO,johnstown,town,0.543609401490192
CO,lafayette,city,2.51135676772762
CO,lamar,city,-1.02090166509017
CO,loveland,city,0.319588999424906
CO,milliken,city,1.28611682792127
CO,montevista,city,-0.626341472339114
CO,montrose,city,-0.0543243318935855
CO,northglenn,city,0.0757702265907933
CO,palisade,town,1.27074096492372
CO,rifle,city,-0.561256106880906
CO,rockyford,city,-2.33398785484242
CO,sheridan,city,-0.43871308497742
CO,silverthorne,town,-0.621394877968474
CO,sterling,city,-0.582406631557766
CO,superior,town,-0.254988892645858
CO,thornton,city,0.312140930465272
CO,trinidad,city,0.29493464830843
CO,wellington,town,1.00954023437428
CO,westminster,city,-0.326388657146557
CO,wheatridge,city,0.248007431943319
CO,windsor,town,-0.253146845158922
CO,yuma,city,-1.43768493798582
CT,avon,town,0.886080415795138
CT,bloomfield,town,0.859618411129498
CT,branford,town,0.728330951796387
CT,brookfield,town,-0.827082224218772
CT,brooklyn,town,0.169624662665113
CT,burlington,town,-0.209079364162172
CT,chester,town,-1.18680699237249
CT,clinton,town,1.31080547600729
CT,colchester,town,0.839408944905361
CT,columbia,town,-0.459014760877782
CT,coventry,town,0.260101976323391
CT,cromwell,town,0.545555453934578
CT,darien,town,1.24056766213578
CT,durham,town,0.221019800649601
CT,easthaddam,town,-0.49612656160952
CT,easthampton,town,1.31774374799109
CT,eastlyme,town,0.758361141315451
CT,easton,town,-0.520336916723543
CT,eastwindsor,town,0.904605476952429
CT,ellington,town,0.410042567049615
CT,enfield,town,1.57094131007161
CT,fairfield,town,0.367995898843674
CT,farmington,town,0.871781359976025
CT,glastonbury,town,1.25563076913409
CT,granby,town,0.391145816891613
CT,greenwich,town,0.715974546510722
CT,griswold,town,0.920020446503419
CT,grotonborough,borough,-0.98054524735252
CT,grotontown,town,0.0364715689084409
CT,hamden,town,0.845824834847252
CT,hebron,town,0.334967435437108
CT,kent,town,-0.00159677116634129
CT,marlborough,town,-0.70049777098399
CT,meriden,city,0.560115205333348
CT,monroe,town,0.346608467722695
CT,naugatuck,borough,-0.206822853607942
CT,newcanaan,town,1.66242997910345
CT,newhaven,city,-0.855207259621567
CT,newlondon,city,0.732347479808564
CT,northstonington,town,0.190333088882291
CT,plainfield,town,-0.629754883285238
CT,plainville,town,-0.248032399211546
CT,plymouth,town,1.07289265136457
CT,portland,town,0.247166436330477
CT,preston,town,-0.166790544661651
CT,putnam,town,-0.315461148997759
CT,shelton,city,-0.466823012047257
CT,southwindsor,town,0.399190426690653
CT,stamford,city,1.17466569665953
CT,stratford,town,0.689153926875963
CT,suffield,town,0.108514158869702
CT,torrington,city,1.47423587169666
CT,vernon,town,-1.10546073630448
CT,wallingford,town,1.28493053554281
CT,waterford,town,0.487562296182283
CT,westhaven,city,-0.414512494923201
CT,westport,town,1.40842623086733
CT,wethersfield,town,0.394899610939019
CT,windsor,town,0.786713354698619
CT,woodbury,town,0.619264392359611
CT,woodstock,town,0.275105172650167
DC,washington,city,0.0793104122323653
DE,dover,city,0.475506293344178
DE,elsmere,town,-0.890023811808971
DE,milford,city,-0.134911980598841
DE,newark,city,-0.299948169894928
DE,smyrna,town,0.769905870855694
FL,apopka,city,1.97983948769816
FL,auburndale,city,-0.12208057955361
FL,bonitasprings,city,0.177433633359784
FL,boyntonbeach,city,1.16180935436383
FL,bradenton,city,0.455786547280089
FL,brooksville,city,0.55155405470912
FL,casselberry,city,1.40026948582512
FL,clearwater,city,0.629649188855806
FL,clewiston,city,-1.44174938262299
FL,cocoabeach,city,0.342348381384115
FL,cooper,city,0.860281127396333
FL,crestview,city,-0.886802064430601
FL,davie,town,2.26688425016611
FL,debary,city,0.3613730670965
FL,defuniaksprings,city,-1.06408832401425
FL,doral,city,1.27120252724501
FL,flaglerbeach,city,-0.487370890611129
FL,fortwaltonbeach,city,-0.03869897063737
FL,gainesville,city,1.09158948543377
FL,gulfport,city,-0.507646765947411
FL,hallandalebeach,city,1.66306282790995
FL,hialeah,city,0.492764736607559
FL,hialeahgardens,city,-0.451048780588384
FL,highlandbeach,town,0.035871264055503
FL,hollywood,city,0.317345265915525
FL,indianharbourbeach,city,-1.05360305852265
FL,indianrivershores,city,-0.456611676404925
FL,jacksonville,city,2.06374236849578
FL,jacksonvillebeach,city,-0.43871308497742
FL,junobeach,town,0.44874560292984
FL,keywest,city,1.44942889291724
FL,lakehelen,city,-0.48015133493865
FL,lakeland,city,1.61236183218898
FL,lakewales,city,0.729738394849956
FL,lantana,town,-0.592240823228322
FL,lauderdalebythesea,town,-0.822087100532816
FL,lauderhill,city,-0.234295584287257
FL,lighthousepoint,city,-1.22614187952431
FL,longboatkey,town,0.826648498061316
FL,madeirabeach,city,-0.823536858369362
FL,maitland,city,1.45974792706624
FL,marathon,city,0.103676519303805
FL,marcoisland,city,1.1964073474903
FL,margate,city,0.766778952029669
FL,marianna,city,-0.698855421464829
FL,melbourne,city,1.14797118229566
FL,miami,city,0.717665656230011
FL,miamibeach,city,1.96778776808885
FL,miamisprings,city,-0.677064185058096
FL,milton,city,0.05755404011748
FL,miramar,city,1.42656995247431
FL,monticello,city,-0.24658039065579
FL,naples,city,1.22064135871084
FL,newsmyrnabeach,city,-0.155022018102805
FL,northmiami,city,1.43824318348012
FL,northmiamibeach,city,-0.0796845153633924
FL,oaklandpark,city,0.406194598113858
FL,okeechobee,city,1.56876595004857
FL,orange,city,1.03707166431599
FL,orlando,city,1.55556683652467
FL,pahokee,city,0.256116511907202
FL,palatka,city,-0.508954952824387
FL,palmbay,city,-0.903973309915555
FL,palmcoast,city,0.136747413405259
FL,palmetto,city,0.361611052484179
FL,parkland,city,1.265452973048
FL,pembrokepark,town,-0.829683304177209
FL,pinecrest,city,-1.41979380815142
FL,pinellaspark,city,1.29319403349834
FL,plantation,city,1.62933970847784
FL,pompanobeach,city,1.33817773720907
FL,portstlucie,city,0.918858009871088
FL,rivierabeach,city,0.543189541395461
FL,rockledge,city,0.500773958101554
FL,royalpalmbeach,village,-0.450747279558199
FL,safetyharbor,city,0.85140825843235
FL,sanford,city,1.5955026065903
FL,sebastian,city,2.17363791386276
FL,seminole,city,0.553182651276851
FL,southdaytona,city,-0.179753710359925
FL,staugustine,city,-0.71145980924878
FL,stcloud,city,1.09562281132535
FL,stpetebeach,city,-0.465400396114528
FL,stpetersburg,city,1.73265410556278
FL,tampa,city,-0.445660063360429
FL,templeterrace,city,-0.25929295265938
FL,tequesta,village,-1.89869100054316
FL,titusville,city,1.28791673029767
FL,treasureisland,city,-1.17114360817231
FL,verobeach,city,-0.184198089737339
FL,wellington,village,1.85761546437784
FL,westmiami,city,-0.417592084860109
FL,weston,city,0.842388347961927
FL,wiltonmanors,city,-0.0242031405562759
FL,winterpark,city,0.567500255626541
FL,wintersprings,city,0.137006503079585
GA,albany,city,1.26791519027961
GA,americus,city,0.348044744205108
GA,atlanta,city,1.42030256251349
GA,austell,city,0.571583481342452
GA,barnesville,city,0.651021384632292
GA,blakely,city,-1.18416970525228
GA,brunswick,city,-1.00341452997471
GA,carrollton,city,0.366288645344548
GA,cartersville,city,-0.892604150026727
GA,collegepark,city,0.325225588469867
GA,columbus,city,1.17503283227383
GA,dallas,city,-0.0668767580157539
GA,decatur,city,0.315779501147714
GA,duluth,city,0.729510577075229
GA,eastpoint,city,-0.479737848072888
GA,fairburn,city,0.155304764521452
GA,fayetteville,city,0.589704345518029
GA,fitzgerald,city,0.128118024733707
GA,griffin,city,-0.169136112319511
GA,hapeville,city,0.92257632605172
GA,hartwell,city,0.726232153286408
GA,hawkinsville,city,-0.161282168435288
GA,hinesville,city,-0.815679272163592
GA,hollysprings,city,1.24903674901728
GA,jesup,city,0.101388434728701
GA,jonesboro,city,0.837673872866301
GA,lagrange,city,0.556662975754731
GA,marietta,city,0.531525448326
GA,metter,city,0.0962231337428301
GA,moultrie,city,0.892579593381189
GA,newnan,city,1.27206201722627
GA,peachtree,city,0.661987671782009
GA,perry,city,-0.370534870576555
GA,portwentworth,city,-0.637973012741587
GA,powdersprings,city,0.124138723732765
GA,rockmart,city,-1.3329651256623
GA,rossville,city,0.806421219657618
GA,socialcircle,city,0.070922844412588
GA,stmarys,city,-0.904619654481282
GA,sugarhill,city,-0.935236206401662
GA,suwanee,city,0.201766342980091
GA,tyrone,town,1.05852098259087
GA,union,city,0.539255235616475
GA,villarica,city,-1.56946066002764
GA,warnerrobins,city,0.128391471371649
GA,washington,city,-0.660802927910016
GA,woodstock,city,1.30269489759094
HI,honolulu,city,0.162716767654907
IA,albia,city,-1.31327654445788
IA,algona,city,-0.767997307902304
IA,ames,city,1.08875606279838
IA,ankeny,city,-1.40574642615666
IA,atlantic,city,-0.335591499465837
IA,belmond,city,-1.04355155005987
IA,boone,city,-1.58171407783113
IA,camanche,city,-1.68570938632205
IA,carlisle,town,-1.19294839470843
IA,cedarfalls,city,-0.454161266944423
IA,centerville,city,0.543274551383329
IA,charles,city,-0.183859573644595
IA,cherokee,city,-0.801380227189956
IA,clinton,city,0.245956159110126
IA,clive,city,-1.04628612210368
IA,creston,city,-0.856696341497173
IA,denison,city,-0.49494446733731
IA,desmoines,city,-0.434177825448452
IA,dubuque,city,-0.317166531620332
IA,eldridge,city,-0.869648906983878
IA,fortdodge,city,-0.611018151153325
IA,garner,city,-1.36608210970563
IA,glenwood,city,-0.047095592429334
IA,grinnell,city,-2.21693636168119
IA,hampton,city,-1.20298971298698
IA,harlan,city,-1.36123873913705
IA,hiawatha,city,-0.00176783515338905
IA,indianola,city,-1.54751617916142
IA,iowa,city,0.869262309498256
IA,marengo,city,-2.09768384449411
IA,marion,city,0.102517898934558
IA,marshalltown,city,-0.189785061448343
IA,mountpleasant,city,-0.837740493295797
IA,mountvernon,city,-0.65947573179081
IA,muscatine,city,-0.762868907099181
IA,nevada,city,-0.503600540096275
IA,newton,city,-0.517955781755262
IA,northliberty,city,0.0234597335998952
IA,onawa,city,-0.24813350251044
IA,orange,city,-0.572158186671218
IA,oskaloosa,city,-0.0686127030262302
IA,pella,city,0.46851780624673
IA,siouxcenter,city,-0.488919676370178
IA,spencer,city,-0.701486226184543
IA,urbandale,city,0.041695603583839
IA,waukee,city,-0.252193710449157
IA,webster,city,-0.216842012964619
IA,westdesmoines,city,0.906982190392321
IA,westliberty,city,-1.81650192351038
IA,windsorheights,city,-0.439221167833762
IA,winterset,city,-1.18360196177244
ID,boise,city,1.67959999581773
ID,gooding,city,-0.408764833704225
ID,lewiston,city,0.0919021949765973
ID,meridian,city,0.465306878214395
ID,moscow,city,0.865415454899223
ID,mountainhome,city,0.139646400656512
ID,nampa,city,0.805414251984529
ID,orofino,city,-1.47477690783621
ID,payette,city,0.121890950538986
ID,pocatello,city,0.0676129623453827
ID,postfalls,city,0.521673625241179
ID,sandpoint,city,0.716824873059334
ID,stanthony,city,-0.465700716271138
IL,abingdon,city,-1.11987848295315
IL,addison,village,-0.946109404832397
IL,antioch,village,-0.119857657979196
IL,arlingtonheights,village,0.475214238847059
IL,aurora,city,0.593494438154345
IL,barrington,village,0.790291584164317
IL,bartlett,village,-0.00436984390334788
IL,belvidere,city,-0.134557403457435
IL,bloomingdale,village,0.561563109987835
IL,bloomington,city,-0.0271914762588223
IL,bourbonnais,village,-0.670187405249445
IL,bridgeview,village,-1.93544516652751
IL,broadview,village,-1.17380458850386
IL,brookfield,village,-0.763531541585251
IL,burrridge,village,1.10484652132767
IL,calumet,city,-1.19669942920952
IL,carbondale,city,-1.2836748363568
IL,carolstream,village,-0.981226913268147
IL,cary,village,0.112944767698288
IL,channahon,village,-1.47992740610347
IL,chicago,city,0.926433919249887
IL,christopher,city,-2.16596182350013
IL,coalvalley,village,-1.21355021304563
IL,colona,city,-0.739950897120088
IL,countryside,city,-0.806474272094007
IL,crete,village,-0.552509315415371
IL,decatur,city,0.105828223641773
IL,deerfield,village,-0.961130628582015
IL,deerpark,village,-0.297326534954722
IL,dixon,city,-0.618773286104637
IL,dwight,village,-0.755333219946969
IL,eastpeoria,city,-1.06060672800587
IL,eureka,city,-0.955975019548489
IL,fairbury,city,-1.99508632164498
IL,flora,city,-2.52986606722781
IL,flossmoor,village,-0.553832460430487
IL,forestpark,village,-1.15253613785314
IL,frankfort,village,0.238839872586277
IL,galesburg,city,-0.280736529203728
IL,geneseo,city,-0.00979255451290004
IL,geneva,city,0.0200681488300355
IL,glencarbon,village,-0.583580075197122
IL,glendaleheights,village,-0.431791402280189
IL,glenellyn,village,-0.839109607930039
IL,glenview,village,1.0772369374302
IL,godfrey,village,-0.704963688319576
IL,grayslake,village,-0.970343834433383
IL,greenville,city,1.55603972043231
IL,gurnee,village,-0.0217499938389204
IL,hanoverpark,village,-0.262775315964165
IL,hawthornwoods,village,-0.978466339609928
IL,hazelcrest,village,-0.482339856822846
IL,hillside,village,-0.812671429331771
IL,hinsdale,village,-0.0471310559775745
IL,hoffmanestates,village,-0.548825662772586
IL,hometown,city,-1.73008491862554
IL,homewood,village,-1.22992477961825
IL,hoopeston,city,-0.0396448032572743
IL,inverness,village,-0.33743406987969
IL,islandlake,village,-0.25278357789289
IL,itasca,village,-0.486703740002427
IL,justice,village,-1.54084148020527
IL,lagrangepark,village,-0.481062325309796
IL,lakebluff,village,0.601049091835364
IL,lakeforest,city,1.29375170007347
IL,lakeinthehills,village,0.172254547786872
IL,lakemoor,village,-0.468434997472714
IL,lakezurich,village,-0.167155112923304
IL,lansing,city,-1.76396783068969
IL,lemont,village,0.474624305960277
IL,libertyville,village,0.643421146899786
IL,lincolnshire,village,-0.0631435169553599
IL,lindenhurst,village,-0.184736641227764
IL,lisle,village,-0.199668831507256
IL,lombard,village,-0.40651240302135
IL,lyons,village,-1.35635284659918
IL,machesneypark,village,1.81235297981875
IL,macomb,city,0.269380674511106
IL,marengo,city,0.557024924276077
IL,mascoutah,city,-0.202589958220582
IL,minooka,village,-1.03605904574342
IL,mokena,village,0.116595491137576
IL,moline,city,0.287805422787669
IL,monee,village,-0.686951115404503
IL,montgomery,village,-0.276896641018847
IL,morrison,city,-0.804777583956266
IL,mortongrove,village,-0.956422672909418
IL,mountcarmel,city,-1.62221038999389
IL,mountprospect,village,-0.788469287420238
IL,mountzion,village,-0.502305761399081
IL,newlenox,village,-0.0763429995486421
IL,niles,village,-0.465206186434221
IL,normal,town,0.337072000067247
IL,norridge,village,-1.15748249069521
IL,northfield,village,-0.37990249524844
IL,oakbrook,village,-1.52818004914402
IL,oakforest,city,-0.453987899330465
IL,ofallon,city,-0.0746058249579113
IL,orlandhills,village,-1.05982759460037
IL,orlandpark,village,0.00282659291660334
IL,palatine,village,-0.629523500133913
IL,palosheights,city,-1.74184159110769
IL,parkridge,city,-0.389192646394161
IL,pinckneyville,city,-1.12093701677956
IL,plainfield,village,0.259709809756136
IL,plano,city,-0.15231159007829
IL,prospectheights,city,0.111873036769919
IL,quincy,city,-0.328977130669517
IL,riverside,village,-0.268067075305942
IL,rochelle,city,0.67638502795142
IL,rockfalls,city,-1.16781086727969
IL,rockisland,city,-0.75077656393151
IL,rollingmeadows,city,-0.753221053485331
IL,romeoville,village,0.239792626756102
IL,roselle,village,0.00940910066953995
IL,roundlake,village,-1.46514644848933
IL,savoy,village,-0.2899051225092
IL,schaumburg,village,-0.0110998526069145
IL,skokie,village,-1.27218426552686
IL,southelgin,village,-0.466739079831345
IL,sparta,city,-0.953132933946338
IL,stcharles,city,-0.0253027283373079
IL,streamwood,village,-0.194465004927588
IL,sugargrove,village,-0.0751456941787951
IL,swansea,village,-0.570130856648315
IL,thornton,township,-1.01726129278001
IL,tinleypark,village,0.623290253534578
IL,villapark,village,-1.48674750270176
IL,westchicago,city,-0.0553071674387668
IL,westmont,village,-0.640821981135825
IL,westpeoria,city,-1.08301614037893
